mode,search_strategy,ub_mode,instance_name,instance_type,n,instance_id,seed,initial_ub_cost,initial_ub_time_ms,best_cost,opt_cost,relative_error_percent,time_ms,total_time_ms,rss_kb,frontier_peak,max_depth,nodes_generated,nodes_expanded,nodes_pruned,solved,hit_time_limit,hit_memory_limit
compare_ub,lc,none,generated_atsp_6_id13,ATSP,6,13,18358,-1,-1,1177,1177,0,0.013676,0.013676,3940,11,6,16,5,10,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id13,ATSP,6,13,18358,1177,0.001593,1177,1177,0,0.012404,0.013997,3940,1,4,13,3,10,1,0,0
compare_ub,bfs,none,generated_atsp_6_id14,ATSP,6,14,18359,-1,-1,1854,1854,0,0.027031,0.027031,3940,120,6,215,95,111,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id14,ATSP,6,14,18359,1952,0.002485,1854,1854,0,0.01572,0.018205,3940,7,6,57,20,35,1,0,0
compare_ub,dfs,none,generated_atsp_6_id14,ATSP,6,14,18359,-1,-1,1854,1854,0,0.017053,0.017053,3940,11,6,75,32,34,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id14,ATSP,6,14,18359,1952,0.002344,1854,1854,0,0.015289,0.017633,3940,5,6,55,19,34,1,0,0
compare_ub,lc,none,generated_atsp_6_id14,ATSP,6,14,18359,-1,-1,1854,1854,0,0.018425,0.018425,3944,33,6,49,16,32,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id14,ATSP,6,14,18359,1952,0.002885,1854,1854,0,0.026871,0.029756,3944,8,6,49,16,32,1,0,0
compare_ub,bfs,none,generated_atsp_6_id15,ATSP,6,15,18360,-1,-1,1329,1329,0,0.030868,0.030868,3944,120,6,213,93,113,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id15,ATSP,6,15,18360,1329,0.002374,1329,1329,0,0.012524,0.014898,3944,1,3,10,2,8,1,0,0
compare_ub,dfs,none,generated_atsp_6_id15,ATSP,6,15,18360,-1,-1,1329,1329,0,0.016221,0.016221,3944,11,6,55,23,25,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id15,ATSP,6,15,18360,1329,0.001763,1329,1329,0,0.012394,0.014157,3944,1,3,10,2,8,1,0,0
compare_ub,lc,none,generated_atsp_6_id15,ATSP,6,15,18360,-1,-1,1329,1329,0,0.014387,0.014387,3944,14,6,20,6,13,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id15,ATSP,6,15,18360,1329,0.001623,1329,1329,0,0.012303,0.013926,3944,1,3,10,2,8,1,0,0
compare_ub,bfs,none,generated_atsp_6_id16,ATSP,6,16,18361,-1,-1,1409,1409,0,0.027922,0.027922,3944,120,6,214,94,112,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id16,ATSP,6,16,18361,1409,0.002535,1409,1409,0,0.012874,0.015409,3944,1,4,13,3,10,1,0,0
compare_ub,dfs,none,generated_atsp_6_id16,ATSP,6,16,18361,-1,-1,1409,1409,0,0.018936,0.018936,3944,11,6,81,33,40,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id16,ATSP,6,16,18361,1409,0.001723,1409,1409,0,0.012724,0.014447,3944,1,4,13,3,10,1,0,0
compare_ub,lc,none,generated_atsp_6_id16,ATSP,6,16,18361,-1,-1,1409,1409,0,0.013856,0.013856,3944,11,6,16,5,10,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id16,ATSP,6,16,18361,1409,0.002114,1409,1409,0,0.012634,0.014748,3944,1,4,13,3,10,1,0,0
compare_ub,bfs,none,generated_atsp_6_id17,ATSP,6,17,18362,-1,-1,1183,1183,0,0.028314,0.028314,3944,120,6,209,89,117,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id17,ATSP,6,17,18362,1696,0.002244,1183,1183,0,0.015449,0.017693,3944,7,6,50,17,32,1,0,0
compare_ub,dfs,none,generated_atsp_6_id17,ATSP,6,17,18362,-1,-1,1183,1183,0,0.014197,0.014197,3944,11,6,25,10,12,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id17,ATSP,6,17,18362,1696,0.001753,1183,1183,0,0.013456,0.015209,3944,6,6,21,7,13,1,0,0
compare_ub,lc,none,generated_atsp_6_id17,ATSP,6,17,18362,-1,-1,1183,1183,0,0.014678,0.014678,3944,14,6,21,7,13,1,0,0
compare_ub,lc,rnn_ties,generated_atsp_6_id17,ATSP,6,17,18362,1696,0.002354,1183,1183,0,0.014067,0.016421,3944,7,6,21,7,13,1,0,0
compare_ub,bfs,none,generated_atsp_6_id18,ATSP,6,18,18363,-1,-1,1933,1933,0,0.028463,0.028463,3944,120,6,220,100,106,1,0,0
compare_ub,bfs,rnn_ties,generated_atsp_6_id18,ATSP,6,18,18363,1933,0.002304,1933,1933,0,0.013074,0.015378,3944,2,4,17,4,13,1,0,0
compare_ub,dfs,none,generated_atsp_6_id18,ATSP,6,18,18363,-1,-1,1933,1933,0,0.018645,0.018645,3944,11,6,94,42,38,1,0,0
compare_ub,dfs,rnn_ties,generated_atsp_6_id18,ATSP,6,18,18363,1933,0.001773,1933,1933,0,0.012874,0.014647,3944,2,4,17,4,13,1,0,0
compare_ub,lc,none,generated_atsp_6_id18,ATSP,6,18,18363,-1,-1,1933,1933,0,0.014707,0.014707,3944,16,6,23,7,15,1,0,0
